Reservation ID,Date,Parking Location,Spot ID,Start Time,End Time,Duration Hours,Cost Rs,Status,Lot Address,Generated On
9,28-07-2025,Uptown,53,20:38,20:49,0.19,4.64,Completed,broadway,28-07-2025 22:05
8,27-07-2025,midtown,77,19:50,20:38,24.8,1239.9,Completed,mid,28-07-2025 22:05
7,26-07-2025,Downtown,1,20:56,19:16,22.34,111.7,Completed,Downing Street,28-07-2025 22:05
6,26-07-2025,midtown,77,14:14,20:56,6.7,335.15,Completed,mid,28-07-2025 22:05
5,26-07-2025,Uptown,53,14:13,14:13,0.01,0.18,Completed,broadway,28-07-2025 22:05
3,23-07-2025,Uptown,51,18:58,20:32,49.56,1238.91,Completed,broadway,28-07-2025 22:05
2,22-07-2025,Downtown,1,16:15,16:29,0.23,1.17,Completed,Downing Street,28-07-2025 22:05
1,22-07-2025,Downtown,1,13:43,16:14,2.52,12.59,Completed,Downing Street,28-07-2025 22:05

SUMMARY,,,,,,,,,,
Total Reservations,8,,,,,,,,,
Total Spent,2944.24,,,,,,,,,
Total Hours,106.35,,,,,,,,,
Avg Cost/Hour,27.68,,,,,,,,,
